variable,lower ,median,upper,distribution,label,control_status
number_of_years,5,,5,const,Number of years for garden simulation,uncertain
discount_rate,3,,8,posnorm,Discounting factor (%),uncertain
CV_value,0.1,,0.4,tnorm_0_1,Coefficient of variation for our school garden intervention (%),uncertain
inflation_rate,5,,10,posnorm,Inflation rate (%),uncertain
,,,,,,
size_of_garden,5,,100,posnorm,Size of school garden in (m2),controllable
,,,,,,
if_students_like,0.5,,0.8,tnorm_0_1,Chance of student engagement (%),uncertain
if_parents_like,0.5,,0.9,tnorm_0_1,Chance of parents support / effectiveness (%),uncertain
if_community_likes,0.1,,0.85,tnorm_0_1,Chance of community support (%),uncertain
if_effective_manage,0.5,,0.7,tnorm_0_1,Chance of effective garden management (%),uncertain
if_garden_yield_enough,0.3,,0.8,tnorm_0_1,Chance of sufficient yield from garden (%),uncertain
if_garden_healthy,0.5,,0.9,tnorm_0_1,Chance of healthy food from garden (%),uncertain
if_teachers_like,0.2,,0.9,tnorm_0_1,Chance of teacher engagement (%),uncertain
if_effective_teaching,0.2,,0.9,tnorm_0_1,Chance of high education quality / effectiveness (%),uncertain
if_effective_training,0.2,,0.8,tnorm_0_1,Chance of effective training for teachers (%),uncertain
if_offer_green_space,0.5,,0.9,tnorm_0_1,Chance of garden having ecologically valuable green space (%),uncertain
if_reduce_pollution,0.2,,0.5,tnorm_0_1,Chance of garden reducing polution (%),uncertain
if_biophysical_good,0.2,,0.8,tnorm_0_1,Chance of biophysical not damaging (i.e. weather) (%),uncertain
,,,,,,
if_animals_in_garden,0.2,,0.8,tnorm_0_1,Chance of school choosing to integrate animals in garden (%),controllable
livestock_establishment_costs,5,,25,posnorm,Starting animals  in the garden (million VND),uncertain
fishpond_cost,7,,10,posnorm,Digging a fish pond in the garden (million VND),uncertain
manure_yield_effect,0.01,,0.1,posnorm,Effect of manure on garden yield (%),uncertain
livestock_mental_health_effect,0.01,,0.1,posnorm,Effect of animals on mental health benefits (%),uncertain
,,,,,,
equipment_cost,6,,20,posnorm,Costs of equipment for setting up garden (million VND),uncertain
construction_cost,6.5,,130.5,posnorm,Costs of construction for setting up garden (million VND),uncertain
garden_designing_costs,10,,15,posnorm,Costs of design team consultant (million VND),uncertain
teacher_training_cost,5,,20,posnorm,Costs of training teachers when setting up garden (million VND),uncertain
school_board_planning,6,,12,posnorm,Costs of planning meetings (million VND),uncertain
teaching_equipment,5,,10,posnorm,Equipment for teaching (million VND),uncertain
compost_starting,5,,10,posnorm,Starting compost (million VND),uncertain
worm_starting,3,,10,posnorm,Starting worms for compost (million VND),uncertain
,,,,,,
if_family_pays_establishment,0.2,,0.5,tnorm_0_1,Chance that families donate to establishment (%),uncertain
establishment_family_portion_paid,0.2,,0.8,tnorm_0_1,Portion of establishment costs donated by families (%),uncertain
,,,,,,
maintaining_labor,25,,40,posnorm,Standard annual Labor cost to maintain school garden  (million VND/yr),uncertain
maintaining_labor_m2,0.25,,0.4,posnorm,Additional (per m2) annual labor cost to maintain school garden  (million VND/yr),uncertain
teacher_salary_cost,20,,30,posnorm,Standard annual additional teacher salary costs with garden (million VND/yr),uncertain
teaching_equipment_annual,1,,40,posnorm,Standard annual teaching equipment / manitaining microscopes etc. with garden (million VND/yr),uncertain
teaching_tools,2,,10,posnorm,Standard annual teaching tools / paper etc. with garden (million VND/yr),uncertain
seed_costs,5,,20,posnorm,Seeds and seedlings (million VND/yr),uncertain
seed_costs_m2,0.05,,0.2,posnorm,Additional (per m2) seeds and seedlings (million VND/yr),uncertain
fertilizer,1,,2,posnorm,Standard annual fertilizer i.e. EM to add to compost (million VND/yr),uncertain
fertilizer_m2,0.01,,0.02,posnorm,Additional (per m2) fertilizer i.e. EM to add to compost (million VND/yr),uncertain
plant_protection,2,,5,posnorm,Integrated Pest Managemernt (IPM) (million VND/yr),uncertain
plant_protection_m2,0.02,,0.05,posnorm,Integrated Pest Managemernt (IPM) (million VND/yr),uncertain
livestock_maint,2,,10,posnorm,Standard annual costs of mainitaining animals (million VND/yr),uncertain
livestock_maint_m2,0.02,,0.1,posnorm,Additional (per m2) mainitaining animals (million VND/yr),uncertain
annual_teacher_training,5,,276,posnorm,Mainitaining teacher training (million VND/yr),uncertain
,,,,,,
if_school_has_canteen,0.2,,0.5,tnorm_0_1,Chance that the school has a canteen (%),controllable
canteen_savings,1,,5,posnorm,Canteen savings (million VND/yr),uncertain
canteen_savings_m2,0.01,,0.05,posnorm,Canteen savings per m2 (million VND/yr),uncertain
sale_of_yield,10,,30,posnorm,Sales of garden products (million VND/yr),uncertain
sale_of_yield_m2,0.1,,0.3,posnorm,Sales of garden products per m2 (million VND/yr),uncertain
extra_cirricular_savings,20,,100,posnorm,Savings from extra-cirriclar activities (million VND/year),uncertain
formal_edu_savings,1,,3,posnorm,Savings on formal education costs (no STEM garden) (million VND/year),uncertain
formal_edu_savings_STEM,20,,100,posnorm,Savings on STEM formal education costs (million VND/year),uncertain
,,,,,,
outside_investment_value,1,,5,posnorm,Outside investment value (reputation) garden (million VND/year),uncertain
outside_investment_value_STEM,1,,8,posnorm,Outside investment value (reputation) STEM (million VND/year),uncertain
,,,,,,
increased_enrollment_value,0.1,,5,posnorm,Increased enrollment/tuition income (reputation) garden (million VND/year),uncertain
increased_enrollment_value_STEM,10,,100,posnorm,Increased enrollment/tuition income (reputation) STEM (million VND/year),uncertain
,,,,,,
child_veg_health_care_savings,0.1,,5,posnorm,Healthcare savings (child) access to garden (million VND/year),uncertain
child_veg_school_performance_value,0.01,,0.2,posnorm,School performance (children) eating garden veg (million VND/year),uncertain
child_veg_community_engagement_value,0.01,,0.1,posnorm,Community engagement (children) eating garden veg (million VND/year),uncertain
,,,,,,
garden_mental_health_value,4,,300,posnorm,Mental health value of children/others having a garden at school (million VND/year),uncertain
,,,,,,
child_garden_health_care_savings,9,,500,posnorm,Healthcare savings (children) with garden (million VND/year),uncertain
child_garden_school_performance_value,21,,182,posnorm,School performance value (children) with garden (million VND/year),uncertain
child_garden_community_engagement_value,3,,7,posnorm,Community engagement value (children) with garden (million VND/year),uncertain
,,,,,,
child_STEM_health_care_savings,20,,80,posnorm,Healthcare savings (children) STEM garden (million VND/year),uncertain
child_STEM_school_performance_value,2,,100,posnorm,School performance value (children) STEM garden (million VND/year),uncertain
child_STEM_community_engagement_value,10,,250,posnorm,Community engagement value (children) STEM garden (million VND/year),uncertain
,,,,,,
green_space_eco_value,1,,10,posnorm,Value of green space (million VND/year),uncertain
green_space_eco_value_m2,0.01,,0.1,posnorm,Value of green space per m2 (million VND/year),uncertain
reduce_pollution_value,1,,3,posnorm,Value of reduced polution by school garden (million VND/year),uncertain
reduce_pollution_value_m2,0.01,,0.03,posnorm,Value of reduced polution by school garden per m2 (million VND/year),uncertain
,,,,,,
chance_garden_is_fallow_green_space,0.001,,0.05,tnorm_0_1,Chance that the garden space is fallow green space (%),uncertain
fallow_eco_reduction,0.5,,0.8,tnorm_0_1,Proportion of value of fallow greenspace compared to garden (%),uncertain
green_space_health_value,1,,10,posnorm,Value of non-garden green space for child health (million VND/year),uncertain
fallow_health_reduction,0.5,,0.8,tnorm_0_1,Proportion of value of fallow greenspace for child heatlh compared to garden (%),uncertain
,,,,,,
school_event_value,10,,200,posnorm,Value of garden related school events (million VND/event),uncertain
school_event_freq,3,,10,posnorm,Number of school events per year (days/year),controllable
school_event_mgmt_cost,0.5,,10,posnorm,Cost of garden related school events (million VND/event),uncertain
,,,,,,
value_of_non_garden_land_use,20,,50,posnorm,"Value of non garden land use, playground etc. (million VND/yr)",uncertain
if_parking,0.1,,0.8,tnorm_0_1,Chance of including parking on the plot without a garden (%),controllable
parking_value,0.1,,3,posnorm,Above table value of parking (million VND/yr),uncertain
costs_of_non_garden_land_use,1,,5,posnorm,Cost of non garden land use (million VND/yr),uncertain
,,,,,,
land_access,0.6,,0.95,tnorm_0_1,Chance that the school has acess to land (%),uncertain
suitability_of_land_for_garden,0.6,,0.95,tnorm_0_1,Chance that the land at the school is suitable (%),uncertain
beurocratic_barriers,0.01,,0.5,tnorm_0_1,Chance that beurocratic barriers will inhibit the process (%),uncertain
