variable,lower ,median,upper,distribution,label
number_of_years,5.00,,5.00,const,Number of years for garden simulation
size_of_garden,50.00,,100.00,posnorm,Size of school garden in sq m
if_school_has_canteen,0.20,,0.50,tnorm_0_1,Chance that the school has a canteen (%)
,,,,,
equipment_cost,1.00,,5.00,posnorm,Costs of equipment for setting up garden (million VND)
construction_cost,5.00,,30.00,posnorm,Costs of construction for setting up garden (million VND)
teacher_training_cost,3.00,,5.00,posnorm,Costs of training teachers when setting up garden (million VND)
input_cost,10.00,,30.00,posnorm,Annual cost to maintain school garden  (million VND/yr)
maintaining_labor,3.00,,7.00,posnorm,Annual labor cost to maintain school garden  (million VND/yr)
teacher_salary_cost,4.00,,10.00,posnorm,Teacher salary costs (million VND/yr)
,,,,,
canteen_savings,2.00,,20.00,posnorm,Canteen savings (million VND/yr)
sale_of_yield,1.00,,10.00,posnorm,Sales of garden products (million VND/yr)
